Detailed Statistics Departures  
Origin Airport: Boston, MA: Logan International (BOS)
Airline: Delta Airlines Inc. (DL)
Month(s): October
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","10/01/2019","0155","N326DN","MSP","14:38","14:56","198","207","18","15:21","25","10","0","9","0","8"
"DL","10/01/2019","0300","N347DN","MCO","20:42","20:47","192","165","5","21:02","15","0","0","0","0","0"
"DL","10/01/2019","0319","N873DN","DTW","13:48","13:38","138","117","-10","13:55","17","0","0","0","0","0"
"DL","10/01/2019","0390","N3730B","CVG","10:15","10:15","142","128","0","10:31","16","0","0","0","0","0"
"DL","10/01/2019","0498","N341NB","JFK","17:00","16:52","99","71","-8","17:13","21","0","0","0","0","0"
"DL","10/01/2019","0510","N348DN","ATL","18:46","18:45","173","166","-1","19:09","24","0","0","0","0","0"
"DL","10/01/2019","0521","N314DN","DTW","10:57","10:54","131","121","-3","11:09","15","0","0","0","0","0"
"DL","10/01/2019","0541","N3744F","SEA","17:27","18:11","403","398","44","18:48","37","0","0","39","0","0"
"DL","10/01/2019","0545","N948AT","LGA","17:00","16:53","92","75","-7","17:16","23","0","0","0","0","0"
"DL","10/01/2019","0551","N318DX","ATL","20:08","20:07","167","153","-1","20:23","16","0","0","0","0","0"
"DL","10/01/2019","0798","N956AT","RDU","06:05","06:03","131","116","-2","06:23","20","0","0","0","0","0"
"DL","10/01/2019","0800","N362DN","ATL","11:00","11:00","168","147","0","11:16","16","0","0","0","0","0"
"DL","10/01/2019","0806","N954AT","LGA","09:00","09:04","88","68","4","09:22","18","0","0","0","0","0"
"DL","10/01/2019","0809","N395DZ","MSP","06:00","05:54","195","208","-6","06:20","26","0","0","0","0","0"
"DL","10/01/2019","0862","N365DN","ATL","15:05","15:03","170","152","-2","15:25","22","0","0","0","0","0"
"DL","10/01/2019","0866","N974AT","CVG","07:45","07:45","147","140","0","08:13","28","0","0","0","0","0"
"DL","10/01/2019","0928","N342NB","JFK","06:20","06:07","87","77","-13","06:35","28","0","0","0","0","0"
"DL","10/01/2019","0942","N974AT","CVG","14:00","13:59","138","127","-1","14:16","17","0","0","0","0","0"
"DL","10/01/2019","0992","N348NW","MCO","11:50","12:06","191","168","16","12:23","17","0","0","0","0","0"
"DL","10/01/2019","0994","N392DN","MSP","08:15","08:20","199","213","5","08:39","19","0","0","19","0","0"
"DL","10/01/2019","1077","N363DN","ATL","13:50","13:50","168","153","0","14:07","17","0","0","0","0","0"
